,season,team,position,player_id
0,2024,NYJ,QB,00-0023459
1,2024,SEA,P,00-0023742
2,2024,ARI,K,00-0023853
3,2024,TEN,K,00-0025565
4,2024,CAR,LS,00-0026027
5,2024,ATL,QB,00-0026143
6,2024,IND,QB,00-0026158
7,2024,BAL,QB,00-0026300
8,2024,LA,QB,00-0026498
9,2024,NYG,K,00-0026858
10,2024,NYJ,P,00-0027114
11,2024,HOU,LS,00-0027224
12,2024,TEN,LS,00-0027557
13,2024,SF,OL,00-0027857
14,2024,PHI,DL,00-0027865
15,2024,BUF,LB,00-0027940
16,2024,NYJ,OL,00-0027947
17,2024,NO,DL,00-0027962
18,2024,PIT,DL,00-0027969
19,2024,CAR,QB,00-0027973
20,2024,NYJ,QB,00-0028118
21,2024,PHI,OL,00-0028129
22,2024,CHI,LS,00-0028284
23,2024,LAC,LS,00-0028845
24,2024,CAR,P,00-0028872
25,2024,CLE,DB,00-0028899
26,2024,ARI,LS,00-0028946
27,2024,HOU,QB,00-0028986
28,2024,CLE,LS,00-0029008
29,2024,WAS,LB,00-0029255
30,2024,PIT,QB,00-0029263
31,2024,ARI,OL,00-0029316
32,2024,TB,LB,00-0029562
33,2024,DET,OL,00-0029592
34,2024,BAL,K,00-0029597
35,2024,ATL,QB,00-0029604
36,2024,MIN,DB,00-0029606
37,2024,NO,LB,00-0029607
38,2024,NYJ,K,00-0029621
39,2024,PHI,DL,00-0029653
40,2024,DAL,P,00-0029692
41,2024,MIN,LS,00-0029714
42,2024,WAS,K,00-0029822
43,2024,SF,RB,00-0029892
44,2024,TB,OL,00-0029895
45,2024,SF,OL,00-0029963
46,2024,CAR,WR,00-0030035
47,2024,WAS,TE,00-0030061
48,2024,PHI,DB,00-0030062
49,2024,SEA,DL,00-0030063
50,2024,MIA,OL,00-0030067
51,2024,LV,DL,00-0030070
52,2024,BUF,P,00-0030092
53,2024,MIN,OL,00-0030097
54,2024,CLE,K,00-0030098
55,2024,MIA,DB,00-0030114
56,2024,WAS,P,00-0030140
57,2024,CHI,WR,00-0030279
58,2024,TB,DL,00-0030386
59,2024,HOU,WR,00-0030431
60,2024,NO,DB,00-0030459
61,2024,KC,TE,00-0030506
62,2024,PHI,OL,00-0030561
63,2024,TEN,WR,00-0030564
64,2024,SEA,QB,00-0030565
