defteam,2016,2017,2018,2019,2020,2021,2022,2023
DEN,1,2,18,13,18,16,5,30
ARI,2,4,12,29,8,17,21,29
HOU,3,25,8,31,32,32,26,12
JAX,4,1,5,28,30,24,19,21
SEA,5,5,25,26,15,18,24,25
MIN,6,3,4,12,29,26,30,15
BAL,7,6,1,8,6,28,12,3
LA,8,12,22,9,1,8,22,19
NYG,9,29,16,19,13,19,23,28
NE,10,31,15,1,23,10,7,4
LAC,11,17,7,14,14,22,29,26
PIT,12,15,6,3,2,21,20,20
CHI,13,13,2,10,9,14,32,18
CIN,14,7,32,32,27,20,18,32
TEN,15,10,10,17,26,13,16,16
DAL,16,8,13,7,22,12,8,8
BUF,17,22,3,4,17,1,6,10
NYJ,18,20,19,5,21,30,2,2
CAR,19,23,28,18,19,2,15,6
PHI,20,11,26,16,12,7,1,24
ATL,21,9,27,20,28,25,28,7
KC,22,27,24,15,16,29,10,5
MIA,23,18,30,30,25,11,14,9
TB,24,32,29,6,7,9,11,23
DET,25,24,20,27,31,31,31,27
WAS,26,19,23,25,4,27,9,31
LV,27,28,31,23,24,6,27,17
NO,28,21,21,11,3,5,4,14
SF,29,16,11,2,5,4,3,11
IND,30,30,9,21,10,23,13,13
CLE,31,14,17,22,20,3,17,1
GB,32,26,14,24,11,15,25,22
